TOLEDO;53813
TOMBOS;53830
TRÊS CORAÇÕES;53856
TRÊS MARIAS;41157
TRÊS PONTAS;53872
TUMIRITINGA;53899
TUPACIGUARA;53910
TURMALINA;53937
TURVOLÂNDIA;53953
UBÁ;53970
UBAÍ;53996
UBAPORANGA;40860
UBERABA;54011
UBERLÂNDIA;54038
UMBURATIBA;54054
UNAÍ;54070
UNIÃO DE MINAS;42447
URUANA DE MINAS;42463
URUCÂNIA;54097
URUCUIA;40886
VÁRZEA DA PALMA;54151
VARGEM ALEGRE;40908
VARGEM BONITA;54119
VARGEM GRANDE DO RIO PARDO;42480
VARGINHA;54135
VARJÃO DE MINAS;42501
VARZELÂNDIA;54178
VAZANTE;54194
VERÍSSIMO;54232
VERDELÂNDIA;42528
VEREDINHA;42544
VERMELHO NOVO;42560
VESPASIANO;54259
VIÇOSA;54275
VIEIRAS;54291
VIRGÍNIA;54356
VIRGEM DA LAPA;54330
VIRGINÓPOLIS;54372
VIRGOLÂNDIA;54399
VISCONDE DO RIO BRANCO;54410
VOLTA GRANDE;54437
WENCESLAU BRAZ;54216
